19:28:22	34b	04	00	00	0a	00	00	80	00	
19:28:23	34b	04	00	00	0a	00	00	80	00	
19:28:24	34b	04	00	00	0a	00	00	80	00	
19:28:25	34b	04	00	00	0a	00	00	80	00	
19:28:26	34b	04	00	00	0a	00	00	80	00	
19:28:27	34b	04	00	00	0a	00	00	80	00	
19:28:28	34b	04	00	00	0a	00	00	80	00	
19:28:29	34b	04	00	00	0a	00	00	80	00	
19:28:30	34b	04	00	00	0a	00	00	80	00	
19:28:31	34b	04	00	00	0a	00	00	80	00	
19:28:32	34b	04	00	00	0a	00	00	80	00	
19:28:33	34b	04	00	00	0a	00	00	80	00	
19:28:34	34b	04	00	00	0a	00	00	80	00	
19:28:35	34b	04	00	00	0a	00	00	80	00	
19:28:36	34b	04	00	00	0a	00	00	80	00	
19:28:37	34b	04	00	00	0a	00	00	80	00	
19:28:38	34b	04	00	00	0a	00	00	80	00	
19:28:39	34b	04	00	00	0a	00	00	80	00	
19:28:40	34b	04	00	00	0a	00	00	80	00	
19:28:41	34b	04	00	00	0a	00	00	80	00	
19:28:42	34b	04	00	00	0a	00	00	80	00	
19:28:43	34b	04	00	00	0a	00	00	80	00	
19:28:44	34b	04	00	00	0a	00	00	80	00	
19:28:45	34b	04	00	00	0a	00	00	80	00	
19:28:46	34b	04	00	00	0a	00	00	80	00	
19:28:47	34b	04	00	00	0a	00	00	80	00	
19:28:48	34b	04	00	00	0a	00	00	80	00	
19:28:49	34b	04	00	00	0a	00	00	80	00	
19:28:50	34b	04	00	00	0a	00	00	80	00	
19:28:51	34b	04	00	00	0a	00	00	80	00	
19:28:52	34b	04	00	00	0a	00	00	80	00	
19:28:53	34b	04	00	00	0a	00	00	80	00	
19:28:54	34b	04	00	00	0a	00	00	80	00	
